folder,file,out_file,img_w_px,img_h_px,px_per_m_x,px_per_m_y,px_per_m_used,crop_side_px_requested,crop_side_px_used,approx_ground_side_m,height_m,focal_mm_default,focal_mm_used,sensor_w_mm,sensor_h_mm
Camera 5,DSCN8115.JPG,DSCN8115_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8116.JPG,DSCN8116_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8117.JPG,DSCN8117_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8118.JPG,DSCN8118_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8119.JPG,DSCN8119_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8120.JPG,DSCN8120_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8121.JPG,DSCN8121_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8123.JPG,DSCN8123_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8124.JPG,DSCN8124_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8125.JPG,DSCN8125_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8126.JPG,DSCN8126_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8127.JPG,DSCN8127_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8128.JPG,DSCN8128_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8129.JPG,DSCN8129_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8130.JPG,DSCN8130_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8131.JPG,DSCN8131_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8132.JPG,DSCN8132_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8133.JPG,DSCN8133_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8134.JPG,DSCN8134_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8135.JPG,DSCN8135_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8137.JPG,DSCN8137_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8138.JPG,DSCN8138_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8139.JPG,DSCN8139_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8140.JPG,DSCN8140_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
Camera 5,DSCN8141.JPG,DSCN8141_c.jpg,4608,3456,1867.099,1898.901,1883.0,1883.0,1883,1.0,2.0,5.0,5.0,6.17,4.55
